beat_number,index,time_s,amplitude_mv
1,96,0.096,500.0
2,897,0.897,509.0
3,1636,1.636,536.0
4,2356,2.356,524.0
5,3054,3.054,520.0
6,3811,3.811,504.0
7,4513,4.513,501.0
8,5188,5.188,524.0
9,5811,5.811,539.0
10,6500,6.5,508.0
11,7201,7.201,604.0
12,7806,7.806,530.0
13,8541,8.541,544.0
14,9268,9.268,511.0
15,10025,10.025,488.0
16,10742,10.742,530.0
17,11426,11.426,560.0
18,12103,12.103,487.0
19,12800,12.8,508.0
20,13480,13.48,511.0
21,14155,14.155,530.0
22,14821,14.821,508.0
23,15513,15.513,451.0
24,16143,16.143,536.0
25,16825,16.825,482.0
26,17453,17.453,377.0
27,18073,18.073,567.0
28,18689,18.689,598.0
29,19295,19.295,543.0
