time_s,ecg_raw,ecg_cleaned
0.000000000000000000e+00,4.930000000000000000e+02,5.365794344945634009e+01
1.000000000000000021e-03,4.930000000000000000e+02,5.334699986576079311e+01
2.000000000000000042e-03,4.960000000000000000e+02,5.290104154678765980e+01
3.000000000000000062e-03,4.970000000000000000e+02,5.227187277768285867e+01
4.000000000000000083e-03,4.960000000000000000e+02,5.142402907384798283e+01
5.000000000000000104e-03,4.940000000000000000e+02,5.034189701823657970e+01
6.000000000000000125e-03,4.940000000000000000e+02,4.903602868604732379e+01
7.000000000000000146e-03,4.950000000000000000e+02,4.754822450211111118e+01
8.000000000000000167e-03,4.960000000000000000e+02,4.595499344299086886e+01
8.999999999999999320e-03,4.950000000000000000e+02,4.436904571681861853e+01
1.000000000000000021e-02,4.940000000000000000e+02,4.293853644316700269e+01
1.099999999999999936e-02,4.940000000000000000e+02,4.184386595123783081e+01
1.200000000000000025e-02,4.940000000000000000e+02,4.129195324916884857e+01
1.299999999999999940e-02,4.960000000000000000e+02,4.150802828322154170e+01
1.400000000000000029e-02,4.970000000000000000e+02,4.272512977224961617e+01
1.499999999999999944e-02,4.970000000000000000e+02,4.517164533042320329e+01
1.600000000000000033e-02,4.980000000000000000e+02,4.905738616283008469e+01
1.700000000000000122e-02,5.020000000000000000e+02,6.018824505509036271e+01
1.799999999999999864e-02,5.040000000000000000e+02,6.761960252707312691e+01
1.899999999999999953e-02,5.090000000000000000e+02,7.662250649202673003e+01
2.000000000000000042e-02,5.130000000000000000e+02,8.716060897549931497e+01
2.100000000000000130e-02,5.190000000000000000e+02,9.912584535426665866e+01
2.199999999999999872e-02,5.310000000000000000e+02,1.123350285977980292e+02
2.299999999999999961e-02,5.460000000000000000e+02,1.265301515169308715e+02
2.400000000000000050e-02,5.630000000000000000e+02,1.413827293361303248e+02
2.500000000000000139e-02,5.800000000000000000e+02,1.565022857618523631e+02
2.599999999999999881e-02,5.990000000000000000e+02,1.714488275701519342e+02
2.699999999999999969e-02,6.220000000000000000e+02,1.857488830598653067e+02
2.800000000000000058e-02,6.470000000000000000e+02,1.989144191952061078e+02
2.900000000000000147e-02,6.660000000000000000e+02,2.104637222176276055e+02
2.999999999999999889e-02,6.830000000000000000e+02,2.199431463513093661e+02
3.099999999999999978e-02,7.000000000000000000e+02,2.269485206220487896e+02
3.200000000000000067e-02,7.100000000000000000e+02,2.311449658703310206e+02
3.300000000000000155e-02,7.160000000000000000e+02,2.439582948834698470e+02
3.400000000000000244e-02,7.180000000000000000e+02,2.420593307748724214e+02
3.500000000000000333e-02,7.150000000000000000e+02,2.249009107537735019e+02
3.599999999999999728e-02,7.050000000000000000e+02,2.164076217292099500e+02
3.699999999999999817e-02,6.910000000000000000e+02,2.049148721707573202e+02
3.799999999999999906e-02,6.710000000000000000e+02,1.907018133295936479e+02
3.899999999999999994e-02,6.410000000000000000e+02,1.741354356095668265e+02
4.000000000000000083e-02,6.080000000000000000e+02,1.556535252835298024e+02
4.100000000000000172e-02,5.720000000000000000e+02,1.357445198942041600e+02
4.200000000000000261e-02,5.370000000000000000e+02,1.149255267775698428e+02
4.299999999999999656e-02,5.070000000000000000e+02,9.371985893617184615e+01
4.399999999999999745e-02,4.830000000000000000e+02,7.263542665499458906e+01
4.499999999999999833e-02,4.640000000000000000e+02,5.214520569295377328e+01
4.599999999999999922e-02,4.490000000000000000e+02,3.267079688867258369e+01
4.700000000000000011e-02,4.380000000000000000e+02,1.456981904297545327e+01
4.800000000000000100e-02,4.290000000000000000e+02,-1.872435623014811590e+00
4.900000000000000189e-02,4.210000000000000000e+02,-1.644697643776962792e+01
5.000000000000000278e-02,4.130000000000000000e+02,-2.902091627400639595e+01
5.099999999999999672e-02,4.050000000000000000e+02,-3.953355798122255038e+01
5.199999999999999761e-02,4.000000000000000000e+02,-4.798942285401622598e+01
5.299999999999999850e-02,4.010000000000000000e+02,-5.444900785745176819e+01
5.399999999999999939e-02,4.010000000000000000e+02,-5.901811406559859563e+01
5.500000000000000028e-02,3.990000000000000000e+02,-6.720050792651659322e+01
5.600000000000000117e-02,3.980000000000000000e+02,-6.776728959816206554e+01
5.700000000000000205e-02,3.970000000000000000e+02,-6.692650513056844375e+01
5.800000000000000294e-02,3.960000000000000000e+02,-6.488280081427365076e+01
5.899999999999999689e-02,3.970000000000000000e+02,-6.182949529343918726e+01
5.999999999999999778e-02,3.980000000000000000e+02,-5.794324050964274875e+01
6.099999999999999867e-02,3.980000000000000000e+02,-5.152615533702312689e+01
6.199999999999999956e-02,3.980000000000000000e+02,-4.682119136502230106e+01
6.300000000000000044e-02,4.010000000000000000e+02,-4.163879176243081304e+01
6.400000000000000133e-02,4.070000000000000000e+02,-3.608737275081416840e+01
6.500000000000000222e-02,4.120000000000000000e+02,-3.026222751061928662e+01
6.600000000000000311e-02,4.160000000000000000e+02,-2.424749726333480027e+01
6.700000000000000400e-02,4.240000000000000000e+02,-1.811827979029986224e+01
6.800000000000000488e-02,4.330000000000000000e+02,-1.194260307674577426e+01
6.900000000000000577e-02,4.420000000000000000e+02,-5.783062207376120867e+00
7.000000000000000666e-02,4.510000000000000000e+02,3.020041885434805451e-01
7.099999999999999367e-02,4.590000000000000000e+02,6.257844750358720454e+00
7.199999999999999456e-02,4.670000000000000000e+02,1.203311246860411821e+01
7.299999999999999545e-02,4.760000000000000000e+02,1.758009441725594968e+01
7.399999999999999634e-02,4.830000000000000000e+02,2.285524679239987478e+01
7.499999999999999722e-02,4.880000000000000000e+02,2.781991364477953965e+01
7.599999999999999811e-02,4.900000000000000000e+02,3.244110997557832121e+01
7.699999999999999900e-02,4.900000000000000000e+02,3.669226365674106916e+01
7.799999999999999989e-02,4.920000000000000000e+02,4.195943802840660197e+01
7.900000000000000078e-02,4.970000000000000000e+02,4.543350319616501309e+01
8.000000000000000167e-02,4.990000000000000000e+02,4.847413619745130831e+01
8.100000000000000255e-02,5.030000000000000000e+02,5.108557343654866401e+01
8.200000000000000344e-02,5.090000000000000000e+02,5.328013405025727423e+01
8.300000000000000433e-02,5.110000000000000000e+02,5.507766732672752852e+01
8.400000000000000522e-02,5.090000000000000000e+02,5.650477576776497557e+01
8.500000000000000611e-02,5.080000000000000000e+02,5.759382789354346244e+01
8.599999999999999312e-02,5.090000000000000000e+02,5.838179979962253441e+01
8.699999999999999400e-02,5.110000000000000000e+02,5.890900752582188460e+01
8.799999999999999489e-02,5.120000000000000000e+02,5.921779833938366977e+01
8.899999999999999578e-02,5.140000000000000000e+02,5.935125459878364040e+01
8.999999999999999667e-02,5.180000000000000000e+02,5.935193765178851066e+01
9.099999999999999756e-02,5.190000000000000000e+02,5.926067394527923682e+01
9.199999999999999845e-02,5.180000000000000000e+02,5.911537236741767742e+01
9.299999999999999933e-02,5.150000000000000000e+02,5.894986826409888181e+01
9.400000000000000022e-02,5.150000000000000000e+02,5.879281537955747439e+01
9.500000000000000111e-02,5.120000000000000000e+02,5.866668203278260307e+01
9.600000000000000200e-02,5.100000000000000000e+02,5.858693743883183203e+01
9.700000000000000289e-02,5.090000000000000000e+02,5.856152715742258152e+01
9.800000000000000377e-02,5.100000000000000000e+02,5.859072840903722579e+01
9.900000000000000466e-02,5.130000000000000000e+02,5.866744660290579105e+01
1.000000000000000056e-01,5.150000000000000000e+02,5.877796980971096019e+01
1.010000000000000064e-01,5.140000000000000000e+02,5.890315071904107924e+01
1.019999999999999934e-01,5.120000000000000000e+02,5.901995021617900505e+01
1.029999999999999943e-01,5.120000000000000000e+02,5.910325966876009574e+01
1.039999999999999952e-01,5.130000000000000000e+02,5.912791414191185879e+01
1.049999999999999961e-01,5.130000000000000000e+02,5.907080309644230454e+01
1.059999999999999970e-01,5.150000000000000000e+02,5.891297018492629434e+01
1.069999999999999979e-01,5.190000000000000000e+02,5.864157065708917571e+01
1.079999999999999988e-01,5.220000000000000000e+02,5.825153159883254261e+01
1.089999999999999997e-01,5.220000000000000000e+02,5.774674817821246364e+01
1.100000000000000006e-01,5.210000000000000000e+02,5.714066039436883671e+01
1.110000000000000014e-01,5.190000000000000000e+02,5.645609644414308548e+01
1.120000000000000023e-01,5.160000000000000000e+02,5.572433649920533583e+01
1.130000000000000032e-01,5.150000000000000000e+02,5.498343044819431213e+01
1.140000000000000041e-01,5.130000000000000000e+02,5.427587920754331918e+01
1.150000000000000050e-01,5.110000000000000000e+02,5.364585099956725855e+01
1.160000000000000059e-01,5.070000000000000000e+02,5.313614796058742229e+01
1.170000000000000068e-01,5.040000000000000000e+02,5.278516439645132863e+01
1.179999999999999938e-01,5.060000000000000000e+02,5.262408406710348174e+01
1.189999999999999947e-01,5.060000000000000000e+02,5.267454605379568733e+01
1.199999999999999956e-01,5.060000000000000000e+02,5.294696672127517445e+01
1.209999999999999964e-01,5.080000000000000000e+02,5.343964653504851015e+01
1.219999999999999973e-01,5.070000000000000000e+02,5.413872588877124770e+01
1.229999999999999982e-01,5.100000000000000000e+02,5.501899023550480905e+01
1.239999999999999991e-01,5.150000000000000000e+02,5.604546260137885838e+01
1.250000000000000000e-01,5.180000000000000000e+02,5.717566121855988115e+01
1.260000000000000009e-01,5.190000000000000000e+02,5.836234634825433432e+01
1.270000000000000018e-01,5.220000000000000000e+02,5.955654218330190730e+01
1.280000000000000027e-01,5.260000000000000000e+02,6.071060313668193231e+01
1.290000000000000036e-01,5.260000000000000000e+02,6.178109816063730619e+01
1.300000000000000044e-01,5.260000000000000000e+02,6.273130845756783458e+01
1.310000000000000053e-01,5.270000000000000000e+02,6.353317039325033022e+01
1.320000000000000062e-01,5.300000000000000000e+02,6.416854265341441987e+01
1.330000000000000071e-01,5.290000000000000000e+02,6.462972891342658954e+01
1.340000000000000080e-01,5.270000000000000000e+02,6.491924172569417806e+01
1.350000000000000089e-01,5.240000000000000000e+02,6.504885096363453556e+01
1.360000000000000098e-01,5.230000000000000000e+02,6.503801876115116443e+01
1.370000000000000107e-01,5.240000000000000000e+02,6.491187291348565225e+01
1.380000000000000115e-01,5.230000000000000000e+02,6.469890166248170260e+01
1.390000000000000124e-01,5.220000000000000000e+02,6.442856212373483515e+01
1.400000000000000133e-01,5.220000000000000000e+02,6.412898798903137276e+01
1.409999999999999865e-01,5.220000000000000000e+02,6.382496601586193208e+01
1.419999999999999873e-01,5.210000000000000000e+02,6.353632745248606994e+01
1.429999999999999882e-01,5.200000000000000000e+02,6.327686952211658422e+01
1.439999999999999891e-01,5.210000000000000000e+02,6.305388276595721209e+01
1.449999999999999900e-01,5.240000000000000000e+02,6.286831174702783187e+01
1.459999999999999909e-01,5.250000000000000000e+02,6.271552025521034324e+01
1.469999999999999918e-01,5.260000000000000000e+02,6.258657366706039937e+01
1.479999999999999927e-01,5.250000000000000000e+02,6.246990065579758777e+01
1.489999999999999936e-01,5.270000000000000000e+02,6.235316185023118152e+01
1.499999999999999944e-01,5.280000000000000000e+02,6.222513521209087628e+01
1.509999999999999953e-01,5.290000000000000000e+02,6.207742392314452218e+01
1.519999999999999962e-01,5.290000000000000000e+02,6.190580183096897571e+01
1.529999999999999971e-01,5.300000000000000000e+02,6.171103683392678363e+01
1.539999999999999980e-01,5.310000000000000000e+02,6.149907648622586720e+01
1.549999999999999989e-01,5.290000000000000000e+02,6.128054229059745950e+01
1.559999999999999998e-01,5.260000000000000000e+02,6.106955717155224050e+01
1.570000000000000007e-01,5.220000000000000000e+02,6.088201903103026069e+01
1.580000000000000016e-01,5.180000000000000000e+02,6.073352045893119566e+01
1.590000000000000024e-01,5.160000000000000000e+02,6.063718281475149752e+01
1.600000000000000033e-01,5.150000000000000000e+02,6.060170396513997559e+01
1.610000000000000042e-01,5.160000000000000000e+02,6.062990225606357342e+01
1.620000000000000051e-01,5.170000000000000000e+02,6.071797549524156778e+01
1.630000000000000060e-01,5.200000000000000000e+02,6.085559369501748250e+01
1.640000000000000069e-01,5.260000000000000000e+02,6.102682473307806532e+01
1.650000000000000078e-01,5.310000000000000000e+02,6.121177175812162119e+01
1.660000000000000087e-01,5.320000000000000000e+02,6.138870018254613825e+01
1.670000000000000095e-01,5.310000000000000000e+02,6.153636950954189899e+01
1.680000000000000104e-01,5.320000000000000000e+02,6.163627146458518524e+01
1.690000000000000113e-01,5.340000000000000000e+02,6.167450619871546280e+01
1.700000000000000122e-01,5.330000000000000000e+02,6.164308757561136787e+01
1.710000000000000131e-01,5.310000000000000000e+02,6.154054376993195064e+01
1.719999999999999862e-01,5.290000000000000000e+02,6.137176488302142019e+01
1.729999999999999871e-01,5.260000000000000000e+02,6.114714023784186736e+01
1.739999999999999880e-01,5.250000000000000000e+02,6.088111473382959815e+01
1.749999999999999889e-01,5.210000000000000000e+02,6.059036404158857891e+01
1.759999999999999898e-01,5.190000000000000000e+02,6.029183333006197643e+01
1.769999999999999907e-01,5.170000000000000000e+02,6.000089840418868903e+01
1.779999999999999916e-01,5.180000000000000000e+02,5.972988840726412008e+01
1.789999999999999925e-01,5.200000000000000000e+02,5.948715495672046671e+01
1.799999999999999933e-01,5.220000000000000000e+02,5.927678909828785692e+01
1.809999999999999942e-01,5.250000000000000000e+02,5.909898787004574672e+01
1.819999999999999951e-01,5.300000000000000000e+02,5.895097410609695032e+01
1.829999999999999960e-01,5.320000000000000000e+02,5.882829327726024360e+01
1.839999999999999969e-01,5.320000000000000000e+02,5.872626322486750894e+01
1.849999999999999978e-01,5.320000000000000000e+02,5.864134500842892095e+01
1.859999999999999987e-01,5.310000000000000000e+02,5.857223552660152421e+01
1.869999999999999996e-01,5.280000000000000000e+02,5.852054485094623004e+01
1.880000000000000004e-01,5.260000000000000000e+02,5.849099749206310861e+01
1.890000000000000013e-01,5.240000000000000000e+02,5.849117138720500719e+01
1.900000000000000022e-01,5.240000000000000000e+02,5.853084842106467534e+01
1.910000000000000031e-01,5.250000000000000000e+02,5.862108773359889824e+01
1.920000000000000040e-01,5.230000000000000000e+02,5.877314711645950496e+01
1.930000000000000049e-01,5.220000000000000000e+02,5.899737413440047362e+01
1.940000000000000058e-01,5.240000000000000000e+02,5.930217379946537903e+01
1.950000000000000067e-01,5.270000000000000000e+02,5.969313612467156815e+01
1.960000000000000075e-01,5.300000000000000000e+02,6.017237543565393310e+01
1.970000000000000084e-01,5.300000000000000000e+02,6.073809959940991376e+01
1.980000000000000093e-01,5.300000000000000000e+02,6.138440195827405432e+01
1.990000000000000102e-01,5.310000000000000000e+02,6.210125872617840059e+01
2.000000000000000111e-01,5.320000000000000000e+02,6.287471693230168057e+01
2.010000000000000120e-01,5.330000000000000000e+02,6.368726348277927940e+01
2.020000000000000129e-01,5.340000000000000000e+02,6.451836760921000291e+01
2.030000000000000138e-01,5.340000000000000000e+02,6.534518572806037184e+01
2.039999999999999869e-01,5.350000000000000000e+02,6.614341134459144200e+01
2.049999999999999878e-01,5.360000000000000000e+02,6.688824429056721499e+01
2.059999999999999887e-01,5.370000000000000000e+02,6.755544344353641861e+01
2.069999999999999896e-01,5.380000000000000000e+02,6.812241598032564127e+01
2.079999999999999905e-01,5.390000000000000000e+02,6.856928671084615701e+01
2.089999999999999913e-01,5.400000000000000000e+02,6.887988644673967542e+01
2.099999999999999922e-01,5.380000000000000000e+02,6.904260120323725403e+01
2.109999999999999931e-01,5.360000000000000000e+02,6.905103460216929534e+01
2.119999999999999940e-01,5.380000000000000000e+02,6.890445054336242947e+01
2.129999999999999949e-01,5.410000000000000000e+02,6.860797496350191693e+01
2.139999999999999958e-01,5.420000000000000000e+02,6.817253965969071317e+01
2.149999999999999967e-01,5.410000000000000000e+02,6.761455236082889542e+01
2.159999999999999976e-01,5.390000000000000000e+02,6.695528684095714311e+01
2.169999999999999984e-01,5.370000000000000000e+02,6.622001136619466877e+01
2.179999999999999993e-01,5.350000000000000000e+02,6.543690750121137967e+01
2.190000000000000002e-01,5.340000000000000000e+02,6.463586104867096083e+01
2.200000000000000011e-01,5.330000000000000000e+02,6.384722133658614496e+01
2.210000000000000020e-01,5.310000000000000000e+02,6.310061998982205722e+01
2.220000000000000029e-01,5.330000000000000000e+02,6.242391781198895018e+01
2.230000000000000038e-01,5.340000000000000000e+02,6.184231381854449694e+01
2.240000000000000047e-01,5.360000000000000000e+02,6.137761129041533081e+01
2.250000000000000056e-01,5.370000000000000000e+02,6.104760231869811093e+01
2.260000000000000064e-01,5.350000000000000000e+02,6.086551625482637462e+01
2.270000000000000073e-01,5.320000000000000000e+02,6.083948582175519704e+01
2.280000000000000082e-01,5.320000000000000000e+02,6.097201433502345935e+01
2.290000000000000091e-01,5.330000000000000000e+02,6.125946554825612367e+01
2.300000000000000100e-01,5.350000000000000000e+02,6.169162907072868762e+01
2.310000000000000109e-01,5.330000000000000000e+02,6.225143222513595020e+01
2.320000000000000118e-01,5.330000000000000000e+02,6.291487687221970759e+01
