time_s,ecg_raw,ecg_cleaned
0.000000000000000000e+00,4.930000000000000000e+02,5.536867766035611282e+01
1.000000000000000021e-03,4.930000000000000000e+02,5.368266182269745457e+01
2.000000000000000042e-03,4.960000000000000000e+02,5.181022304278135238e+01
3.000000000000000062e-03,4.970000000000000000e+02,4.978238510273803286e+01
4.000000000000000083e-03,4.960000000000000000e+02,4.764849350353108548e+01
5.000000000000000104e-03,4.940000000000000000e+02,4.547804493546917115e+01
6.000000000000000125e-03,4.940000000000000000e+02,4.336155046738041818e+01
7.000000000000000146e-03,4.950000000000000000e+02,4.141021177664442376e+01
8.000000000000000167e-03,4.960000000000000000e+02,3.975424918866487189e+01
8.999999999999999320e-03,4.950000000000000000e+02,3.853979651934717765e+01
1.000000000000000021e-02,4.940000000000000000e+02,3.792436627987594022e+01
1.099999999999999936e-02,4.940000000000000000e+02,3.807098420283207219e+01
1.200000000000000025e-02,4.940000000000000000e+02,3.914118795835995002e+01
1.299999999999999940e-02,4.960000000000000000e+02,4.128717453050071384e+01
1.400000000000000029e-02,4.970000000000000000e+02,4.464345708592614415e+01
1.499999999999999944e-02,4.970000000000000000e+02,4.931844866735488608e+01
1.600000000000000033e-02,4.980000000000000000e+02,5.538642080579136007e+01
1.700000000000000122e-02,5.020000000000000000e+02,6.288028583494294566e+01
1.799999999999999864e-02,5.040000000000000000e+02,7.178562174567638010e+01
1.899999999999999953e-02,5.090000000000000000e+02,8.203630398808164159e+01
2.000000000000000042e-02,5.130000000000000000e+02,9.351204102820581454e+01
2.100000000000000130e-02,5.190000000000000000e+02,1.060380380269100442e+02
2.199999999999999872e-02,5.310000000000000000e+02,1.193869352928317795e+02
2.299999999999999961e-02,5.460000000000000000e+02,1.332830802768070839e+02
2.400000000000000050e-02,5.630000000000000000e+02,1.474090921802427943e+02
2.500000000000000139e-02,5.800000000000000000e+02,1.614145702921324528e+02
2.599999999999999881e-02,5.990000000000000000e+02,1.749266871709188251e+02
2.699999999999999969e-02,6.220000000000000000e+02,1.875623025681802289e+02
2.800000000000000058e-02,6.470000000000000000e+02,1.989411401836613891e+02
2.900000000000000147e-02,6.660000000000000000e+02,2.086994929433396919e+02
