beat_index,peak_sample,peak_time_s,peak_value,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,compensatory_pause_index,qrs_width_ms,qrs_peak_to_peak,qrs_area_abs,qrs_max_slope,template_corr,is_extrasystole_candidate
0,57,0.057,-68.10957639938722,nan,0.598,0.4229999999999947,nan,1.4137115839243675,26.999999999985036,293.68371452629555,5.642627622259336,19955.776316692285,nan,0
1,655,0.655,-26.35274654777059,0.598,0.34599999999999986,0.4229999999999947,1.4137115839243675,0.817966903073296,152.99999999991522,15.691702143765744,0.4615623530985103,1090.9357304547605,0.12520472875254698,0
2,1001,1.001,-150.71783054464518,0.34599999999999986,0.9560000000000002,0.4229999999999947,0.817966903073296,2.2600472813239056,26.999999999985036,323.46267479265754,5.879441514645278,22573.540432818325,0.7111487059001992,0
3,1957,1.957,-135.19148553069314,0.9560000000000002,0.24999999999999978,0.4229999999999947,2.2600472813239056,0.5910165484633638,23.9999999999867,315.4983290773773,5.734023170232773,22209.167347927665,0.7164024263525057,0
4,2207,2.207,-12.981090914691906,0.24999999999999978,0.3080000000000003,0.4229999999999947,0.5910165484633638,0.7281323877068655,70.99999999996065,42.58660384206336,1.4996736987378951,1745.184751928094,0.14499808770122402,0
5,2515,2.515,-9.229127802367314,0.3080000000000003,0.3969999999999998,0.4229999999999947,0.7281323877068655,0.9385342789598221,156.999999999913,15.896795108461397,0.4053242925926362,722.4368796736431,0.02125252043110493,0
6,2912,2.912,-142.16235110101212,0.3969999999999998,0.5680000000000001,0.4229999999999947,0.9385342789598221,1.3427895981087639,48.99999999997284,279.27167411282386,5.581891133278702,19333.96190659681,0.7947346285978487,0
7,3480,3.48,-5.965666228433835,0.5680000000000001,0.3599999999999999,0.4229999999999947,1.3427895981087639,0.8510638297872444,29.999999999983373,16.780822462819852,0.48206499156729093,878.6286575188637,0.0018521674610733217,0
8,3840,3.84,-141.57565169860513,0.3599999999999999,0.524,0.4229999999999947,0.8510638297872444,1.2387706855792118,83.99999999995345,292.2114896904238,5.488999761022844,20381.25559714485,0.7987496134911686,0
9,4364,4.364,-9.986693439848798,0.524,0.4370000000000003,0.4229999999999947,1.2387706855792118,1.0330969267139616,20.99999999998836,15.237973751456181,0.4767199010869269,1134.912233821389,0.13204989096320782,0
