record,reference_beats,detected_beats,TP,FP,FN,SE_percent,PPV_percent,F1_percent,sampling_rate_hz,duration_s
100,2273,2273,2273,0,0,100.0,100.0,100.0,360.0,1805.5527777777777
101,1865,1868,1864,4,1,99.94638069705094,99.78586723768737,99.8660594695955,360.0,1805.5527777777777
103,2084,2083,2083,0,1,99.95201535508637,100.0,99.97600191984641,360.0,1805.5527777777777
105,2572,2626,2510,116,62,97.58942457231726,95.58263518659558,96.57560600230858,360.0,1805.5527777777777
106,2027,2027,2003,24,24,98.81598421312285,98.81598421312285,98.81598421312285,360.0,1805.5527777777777
108,1760,1841,1623,218,137,92.2159090909091,88.15860945138512,90.14162732574285,360.0,1805.5527777777777
109,2530,2530,2510,20,20,99.2094861660079,99.2094861660079,99.2094861660079,360.0,1805.5527777777777
111,2124,2123,2118,5,6,99.71751412429379,99.76448422044277,99.74099364257123,360.0,1805.5527777777777
112,2539,2539,2539,0,0,100.0,100.0,100.0,360.0,1805.5527777777777
113,1789,1795,1789,6,0,100.0,99.66573816155989,99.83258928571429,360.0,1805.5527777777777
114,1873,1877,1869,8,4,99.786438868126,99.57378795950986,99.68,360.0,1805.5527777777777
115,1953,1953,1953,0,0,100.0,100.0,100.0,360.0,1805.5527777777777
116,2412,2391,2387,4,25,98.96351575456053,99.83270598076119,99.3962107016448,360.0,1805.5527777777777
117,1535,1535,1535,0,0,100.0,100.0,100.0,360.0,1805.5527777777777
118,2278,2278,2250,28,28,98.77085162423178,98.77085162423178,98.77085162423178,360.0,1805.5527777777777
119,1987,1988,1987,1,0,100.0,99.9496981891348,99.9748427672956,360.0,1805.5527777777777
121,1863,1862,1857,5,6,99.6779388083736,99.73147153598282,99.70469798657719,360.0,1805.5527777777777
122,2476,2477,2476,1,0,100.0,99.95962858296326,99.97981021603069,360.0,1805.5527777777777
123,1518,1516,1516,0,2,99.86824769433466,100.0,99.9340804218853,360.0,1805.5527777777777
124,1580,1619,1571,48,9,99.43037974683544,97.03520691785053,98.21819318537042,360.0,1805.5527777777777
200,2599,2601,2581,20,18,99.30742593305118,99.23106497500962,99.26923076923076,360.0,1805.5527777777777
201,1853,1932,1845,87,8,99.56826767404209,95.4968944099379,97.49009247027742,360.0,1805.5527777777777
202,2116,2131,2104,27,12,99.43289224952741,98.73298920694509,99.08170473275253,360.0,1805.5527777777777
203,2977,2982,2906,76,71,97.61504870675176,97.45137491616364,97.53314314482296,360.0,1805.5527777777777
205,2645,2653,2641,12,4,99.84877126654064,99.54768186958161,99.69799924499812,360.0,1805.5527777777777
207,1860,2307,1829,478,31,98.33333333333333,79.28045080190724,87.78497720182385,360.0,1805.5527777777777
208,2580,2951,2566,385,14,99.45736434108527,86.95357505930193,92.78611462664979,360.0,1805.5527777777777
209,3005,3007,3005,2,0,100.0,99.93348852677087,99.96673320026613,360.0,1805.5527777777777
210,2618,2634,2602,32,16,99.38884644766998,98.78511769172361,99.08606245239908,360.0,1805.5527777777777
212,2748,2748,2748,0,0,100.0,100.0,100.0,360.0,1805.5527777777777
213,2886,3250,2860,390,26,99.09909909909909,88.0,93.22033898305084,360.0,1805.5527777777777
214,2262,2259,2142,117,120,94.6949602122016,94.8207171314741,94.75779694757797,360.0,1805.5527777777777
215,3364,3363,3362,1,2,99.94054696789536,99.9702646446625,99.95540359744314,360.0,1805.5527777777777
219,2157,2154,2152,2,5,99.76819656930923,99.9071494893222,99.83762468104848,360.0,1805.5527777777777
220,2048,2048,2048,0,0,100.0,100.0,100.0,360.0,1805.5527777777777
221,2427,2424,2423,1,4,99.83518747424804,99.95874587458746,99.89692846835703,360.0,1805.5527777777777
222,2270,2484,2264,220,6,99.73568281938326,91.14331723027375,95.24610854017669,360.0,1805.5527777777777
223,2574,2604,2571,33,3,99.88344988344988,98.73271889400921,99.30475086906141,360.0,1805.5527777777777
228,2056,2064,2023,41,33,98.39494163424125,98.01356589147287,98.20388349514563,360.0,1805.5527777777777
230,2256,2256,2256,0,0,100.0,100.0,100.0,360.0,1805.5527777777777
231,1998,1571,1571,0,427,78.62862862862863,100.0,88.03586438778369,360.0,1805.5527777777777
232,1779,1789,1778,11,1,99.94378864530636,99.38513135830073,99.66367713004485,360.0,1805.5527777777777
233,3068,3077,3061,16,7,99.77183833116037,99.48001299967501,99.62571196094385,360.0,1805.5527777777777
234,2703,2753,2703,50,0,100.0,98.18379949146386,99.08357771260997,360.0,1805.5527777777777
GLOBAL,99887,101243,98754,2489,1133,98.86571826163565,97.54155842873088,98.19917466315319,,79444.32222222221
