record,reference_pvc_beats,detected_pvc_candidates,TP_pvc,FP_pvc,FN_pvc,TN_pvc,Sensitivity_pvc_percent,Specificity_pvc_percent,Accuracy_pvc_percent,PPV_pvc_percent,F1_pvc_percent,sampling_rate_hz,duration_s
105,41,204,39,57,2,2474,95.1219512195122,97.74792572105888,97.70606531881803,40.625,56.934306569343065,360.0,1805.5527777777777
106,520,524,499,0,21,1507,95.96153846153847,100.0,98.96398618648249,100.0,97.93915603532875,360.0,1805.5527777777777
108,17,107,10,17,7,1726,58.8235294117647,99.02467010900746,98.63636363636364,37.03703703703704,45.45454545454545,360.0,1805.5527777777777
109,38,23,21,1,17,2491,55.26315789473684,99.95987158908507,99.28853754940711,95.45454545454545,70.0,360.0,1805.5527777777777
114,43,164,28,63,15,1767,65.11627906976744,96.55737704918033,95.83555792845702,30.76923076923077,41.7910447761194,360.0,1805.5527777777777
116,109,110,107,1,2,2302,98.1651376146789,99.95657837603126,99.87562189054727,99.07407407407408,98.61751152073732,360.0,1805.5527777777777
119,444,733,444,0,0,1543,100.0,100.0,100.0,100.0,100.0,360.0,1805.5527777777777
124,47,32,8,4,39,1529,17.02127659574468,99.73907371167645,97.27848101265823,66.66666666666667,27.11864406779661,360.0,1805.5527777777777
200,826,561,424,2,402,1771,51.3317191283293,99.88719684151157,84.45555983070412,99.53051643192488,67.73162939297124,360.0,1805.5527777777777
203,444,931,121,535,323,1998,27.25225225225225,78.87879984208449,71.17903930131004,18.445121951219512,22.0,360.0,1805.5527777777777
207,105,377,40,4,65,1751,38.095238095238095,99.77207977207978,96.29032258064517,90.9090909090909,53.691275167785236,360.0,1805.5527777777777
208,992,692,668,7,324,1581,67.33870967741936,99.55919395465995,87.17054263565892,98.96296296296296,80.14397120575885,360.0,1805.5527777777777
210,194,190,51,24,143,2400,26.288659793814432,99.00990099009901,93.62108479755538,68.0,37.9182156133829,360.0,1805.5527777777777
213,220,44,23,4,197,2662,10.454545454545455,99.84996249062266,93.03534303534303,85.18518518518519,18.62348178137652,360.0,1805.5527777777777
214,256,293,241,38,15,1968,94.140625,98.10568295114656,97.65694076038903,86.37992831541219,90.09345794392523,360.0,1805.5527777777777
215,164,120,118,0,46,3200,71.95121951219512,100.0,98.63258026159335,100.0,83.68794326241135,360.0,1805.5527777777777
217,162,167,150,11,12,2035,92.5925925925926,99.46236559139786,98.95833333333333,93.16770186335404,92.87925696594426,360.0,1805.5527777777777
219,64,178,61,115,3,1978,95.3125,94.50549450549451,94.52943903569773,34.65909090909091,50.83333333333333,360.0,1805.5527777777777
221,396,388,381,0,15,2031,96.21212121212122,100.0,99.38195302843016,100.0,98.06949806949807,360.0,1805.5527777777777
223,473,352,319,26,154,2075,67.44186046511628,98.76249405045216,93.00699300699301,92.46376811594203,77.99511002444987,360.0,1805.5527777777777
228,362,438,291,9,71,1685,80.38674033149171,99.46871310507674,96.10894941634241,97.0,87.91540785498489,360.0,1805.5527777777777
233,831,791,779,6,52,2231,93.7424789410349,99.73178363880197,98.10951760104302,99.23566878980891,96.4108910891089,360.0,1805.5527777777777
GLOBAL,6748,7419,4823,924,1925,44705,71.47302904564316,97.9749720572443,94.5605895717586,83.92204628501827,77.19887955182074,,39722.161111111105
