record,reference_pvc_beats,detected_pvc_candidates,TP_pvc,FP_pvc,FN_pvc,TN_pvc,Sensitivity_pvc_percent,Specificity_pvc_percent,Accuracy_pvc_percent,PPV_pvc_percent,F1_pvc_percent,sampling_rate_hz,duration_s
105,41,0,0,0,41,2531,0.0,100.0,98.4059097978227,0.0,0.0,360.0,1805.5527777777777
106,520,1,1,0,519,1507,0.19230769230769232,100.0,74.39565860878145,100.0,0.3838771593090211,360.0,1805.5527777777777
107,59,0,0,0,59,2078,0.0,100.0,97.2391202620496,0.0,0.0,360.0,1805.5527777777777
108,17,0,0,0,17,1743,0.0,100.0,99.0340909090909,0.0,0.0,360.0,1805.5527777777777
109,38,0,0,0,38,2492,0.0,100.0,98.49802371541502,0.0,0.0,360.0,1805.5527777777777
114,43,0,0,0,43,1830,0.0,100.0,97.70421783235452,0.0,0.0,360.0,1805.5527777777777
116,109,0,0,0,109,2303,0.0,100.0,95.48092868988391,0.0,0.0,360.0,1805.5527777777777
118,16,1,0,1,16,2261,0.0,99.95579133510168,99.25373134328358,0.0,0.0,360.0,1805.5527777777777
119,444,0,0,0,444,1543,0.0,100.0,77.65475591343734,0.0,0.0,360.0,1805.5527777777777
124,47,0,0,0,47,1533,0.0,100.0,97.0253164556962,0.0,0.0,360.0,1805.5527777777777
200,826,0,0,0,826,1773,0.0,100.0,68.21854559445941,0.0,0.0,360.0,1805.5527777777777
201,198,0,0,0,198,1655,0.0,100.0,89.31462493254182,0.0,0.0,360.0,1805.5527777777777
202,19,1,1,0,18,2097,5.2631578947368425,100.0,99.14933837429112,100.0,10.0,360.0,1805.5527777777777
203,444,2,1,1,443,2532,0.22522522522522523,99.96052112120016,85.08565670137723,50.0,0.4484304932735426,360.0,1805.5527777777777
205,71,0,0,0,71,2574,0.0,100.0,97.31568998109641,0.0,0.0,360.0,1805.5527777777777
207,105,0,0,0,105,1755,0.0,100.0,94.35483870967742,0.0,0.0,360.0,1805.5527777777777
208,992,0,0,0,992,1588,0.0,100.0,61.55038759689923,0.0,0.0,360.0,1805.5527777777777
210,194,0,0,0,194,2424,0.0,100.0,92.58976317799848,0.0,0.0,360.0,1805.5527777777777
213,220,0,0,0,220,2666,0.0,100.0,92.37699237699238,0.0,0.0,360.0,1805.5527777777777
214,256,0,0,0,256,2006,0.0,100.0,88.68258178603006,0.0,0.0,360.0,1805.5527777777777
215,164,0,0,0,164,3200,0.0,100.0,95.12485136741974,0.0,0.0,360.0,1805.5527777777777
219,64,0,0,0,64,2093,0.0,100.0,97.03291608715809,0.0,0.0,360.0,1805.5527777777777
221,396,0,0,0,396,2031,0.0,100.0,83.68355995055624,0.0,0.0,360.0,1805.5527777777777
223,473,0,0,0,473,2101,0.0,100.0,81.62393162393163,0.0,0.0,360.0,1805.5527777777777
228,362,1,0,1,362,1693,0.0,99.9409681227863,82.3443579766537,0.0,0.0,360.0,1805.5527777777777
233,831,0,0,0,831,2237,0.0,100.0,72.91395045632333,0.0,0.0,360.0,1805.5527777777777
GLOBAL,6949,6,3,3,6946,54246,0.04317167937832782,99.99446994414643,88.6450537599268,50.0,0.08626887131560029,,46944.37222222221
