time_s,ecg
0.0,0.0
0.001,0.0007140999839069476
0.002,0.04588844420012628
0.003,0.11623200838791706
0.004,0.20094224781185122
0.005,0.27032455064594474
0.006,0.3141094260446392
0.007,0.3382528056591876
0.008,0.3486061990649154
0.008999999999999998,0.3509422471388917
0.01,0.3510129219211923
0.011,0.35103443529131
0.012,0.3510528879233689
0.013,0.35106935909736525
0.014,0.5371839714644954
0.015,3.4687216309397244
0.016,15.133586500209061
0.017,41.27352021802405
0.018,87.57041423024694
0.019,159.64517460190058
0.02,246.42969993575656
0.021,317.5091689970718
0.022,362.3660594624654
0.023,387.1019855222189
0.024,397.7110695516827
0.025,400.105873684909
0.026,400.17857115251786
0.027,400.2005070670047
0.028,400.21939531772233
0.029,400.2363371807266
0.03,400.2485301971626
0.031,400.2525106401281
0.032,400.25251126519373
0.033,400.256175684003
0.034,400.27078235388416
0.035,400.30415573602636
0.036,400.35194341021025
0.037,400.3923866576387
0.038,400.4170818681148
0.039,400.4296147841308
0.04,400.43390358516984
0.041,400.43431429565754
0.042,400.43442597474547
0.043,400.43461377224287
0.044,400.4346262429968
0.045,400.4346772490471
0.046,400.43504331248556
0.047,400.4358414407373
0.048,400.43703876715676
0.049,400.4385662115735
0.05,400.44037991313195
0.051,400.442506872584
0.052,400.44466554994983
0.053,400.446724991201
0.054,400.44856346827765
0.055,400.4498273516859
0.056,400.4503386303726
0.057,400.4503557495313
0.058,400.4506049430589
0.059,400.4518132372967
0.06,400.45443251511114
0.061,400.4580428942182
0.062,400.46142884975967
0.063,400.46342892713847
0.064,400.4639201460799
0.065,400.4639484851667
0.066,400.4652501225393
0.067,400.46981594641704
0.068,400.4786080946346
0.069,400.4909763378036
0.07,400.5053293143791
0.071,400.5193932911638
0.072,400.5306113864785
0.07299999999999998,400.5373374705272
0.07399999999999998,400.5399919332862
0.07499999999999998,400.54034698792975
0.076,400.54054950919544
0.077,400.5424174831194
0.078,400.54658972747495
0.079,400.5530208534683
0.08,400.5615092559022
0.081,400.57179839256065
0.082,400.58347892532237
0.083,400.59589410675346
0.084,400.6082096506388
0.085,400.61875160203846
0.08599999999999998,400.625656083292
0.08699999999999998,400.6283926380044
